Pizza     
4 fromages  La mozzarella l'incontournable. Grand classique de la cuisine italienne la mozzarella est le fromage culte de la pizza  16
Jambon saucices  tranches de jambon de façon qu'elles recouvrent la pâte (vous pouvez rajouter du chorizo sur le jambon).  15
Savoyarde  Les pommes de terre sont cuites étaler le mélange lardons/oignon sur la crème. Ajouter les pommes de terre et le reblochon coupé en morceaux. Casser l’œuf au milieu de la pizza.  22
Végetarienne  La sauce tomates est prête recouvrez une tôle avec une feuille de papier sulfurisé puis déroulez la pâte à pizza par-dessus. Nappez généreusement avec la sauce tomate (sans en mettre sur les bords)  18.9
Déssert    
Café gourmand Gaufres  Café, décaféiné ou thé Gaufres ou Moelleux au chocolat, sauce chocolat, chantilly, panna cotta, coulis de frambroises  5
Moelleux au chocolat  Moelleux au chocolat, amandes grillées, toute juste sortie du four pour les amoureux du chocolat  6.5
Mousse au chocolat  Du chocolat noit allégé aux blancs d'oeufs  5.49
Glaces    
Coupe Antillaise  Rhum-raisin (3 boules), ruhm (3cl)  3
Colonel Italien  Citron (3 boules), Grappa piave (3cl)  3.2
Fresca coulis de frambroise  Sorbets: citron, frambroise, fruit de la passion, coulis de frambroise  4.5
